	SubjectID1	SubjectID2	Group1	Group2	Distance
178	SRR7013992	SRR7013961	Crohn's disease	Crohn's disease	0.5512170823801039
179	SRR7013992	SRR7013969	Crohn's disease	Crohn's disease	0.5754881906284642
180	SRR7013992	SRR7013970	Crohn's disease	Crohn's disease	0.584373650611923
181	SRR7013992	SRR7013971	Crohn's disease	Crohn's disease	0.5874099325185289
182	SRR7013992	SRR7013972	Crohn's disease	Crohn's disease	0.500449484625255
183	SRR7013992	SRR7013975	Crohn's disease	Crohn's disease	0.5367814026879675
184	SRR7013992	SRR7013976	Crohn's disease	Crohn's disease	0.5241203523339687
185	SRR7013992	SRR7013977	Crohn's disease	Crohn's disease	0.5193554788931252
186	SRR7013992	SRR7013985	Crohn's disease	Crohn's disease	0.5133582403098911
187	SRR7013992	SRR7013986	Crohn's disease	Crohn's disease	0.5095271954229146
188	SRR7013992	SRR7013990	Crohn's disease	Crohn's disease	0.5360523518867569
189	SRR7013992	SRR7013991	Crohn's disease	Crohn's disease	0.5601080845758545
190	SRR7013993	SRR7013953	Crohn's disease	Crohn's disease	0.633567765389037
191	SRR7013993	SRR7013954	Crohn's disease	Crohn's disease	0.614640604894055
192	SRR7013993	SRR7013955	Crohn's disease	Crohn's disease	0.6226792264065671
193	SRR7013993	SRR7013956	Crohn's disease	Crohn's disease	0.6090957140421924
194	SRR7013993	SRR7013958	Crohn's disease	Crohn's disease	0.5609630497408957
195	SRR7013993	SRR7013959	Crohn's disease	Crohn's disease	0.4468066992335907
196	SRR7013993	SRR7013960	Crohn's disease	Crohn's disease	0.5679836185336661
197	SRR7013993	SRR7013961	Crohn's disease	Crohn's disease	0.5851394615430054
198	SRR7013993	SRR7013969	Crohn's disease	Crohn's disease	0.5808370727616339
199	SRR7013993	SRR7013970	Crohn's disease	Crohn's disease	0.5112452962002553
200	SRR7013993	SRR7013971	Crohn's disease	Crohn's disease	0.5438500751710905
201	SRR7013993	SRR7013972	Crohn's disease	Crohn's disease	0.5549347579524196
202	SRR7013993	SRR7013975	Crohn's disease	Crohn's disease	0.49759652669659554
203	SRR7013993	SRR7013976	Crohn's disease	Crohn's disease	0.475435212098575
204	SRR7013993	SRR7013977	Crohn's disease	Crohn's disease	0.5514049555570874
205	SRR7013993	SRR7013985	Crohn's disease	Crohn's disease	0.5427118658668476
206	SRR7013993	SRR7013986	Crohn's disease	Crohn's disease	0.5622928018331259
207	SRR7013993	SRR7013990	Crohn's disease	Crohn's disease	0.5786496741535855
208	SRR7013993	SRR7013991	Crohn's disease	Crohn's disease	0.553709293372957
209	SRR7013993	SRR7013992	Crohn's disease	Crohn's disease	0.5641127817871955
210	SRR7013994	SRR7013953	Crohn's disease	Crohn's disease	0.6606826560575959
211	SRR7013994	SRR7013954	Crohn's disease	Crohn's disease	0.5479065186905483
212	SRR7013994	SRR7013955	Crohn's disease	Crohn's disease	0.552152402839296
213	SRR7013994	SRR7013956	Crohn's disease	Crohn's disease	0.5671701853876534
214	SRR7013994	SRR7013958	Crohn's disease	Crohn's disease	0.573757568456233
215	SRR7013994	SRR7013959	Crohn's disease	Crohn's disease	0.48993217059100236
216	SRR7013994	SRR7013960	Crohn's disease	Crohn's disease	0.5073514627829548
217	SRR7013994	SRR7013961	Crohn's disease	Crohn's disease	0.6012879804066859
218	SRR7013994	SRR7013969	Crohn's disease	Crohn's disease	0.5977820598638146
219	SRR7013994	SRR7013970	Crohn's disease	Crohn's disease	0.5158637106059635
